"Category","Business Impact","Recommendation","Subscription ID","Subscription Name","Resource Group","Resource Name","Type","Updated Date","Potential benefits","Potential Annual Cost Savings","Potential Cost Savings Currency","Cost implications (Preview)","Description of changes","Retirement date","Retiring feature"
"Security","Medium","Storage accounts should prevent shared key access","b5a82f9e-82b3-4306-bbbe-0a747eb8e7e1","SU067 - NCC Core Integration - Corp - Prod - 01 (b5a82f9e-82b3-4306-bbbe-0a747eb8e7e1)","rg-nci-mbb-homecostcenter-prod","stlogicmbbhcostcentprod","Storage Account","2026-02-02T00:01:34.9375507Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage accounts should restrict network access using virtual network rules","733576ef-342f-4b1e-9380-cfc693a4344f","SU037 - NCC Core Integration - Online - Dev - 01 (733576ef-342f-4b1e-9380-cfc693a4344f)","rg-streambim-inbound-dev","ststreambimlookupdev","Storage Account","2026-02-01T20:24:36.5431184Z","Prevent potential security breaches","","","No data",""
"Reliability","Medium","Enable Soft Delete to protect your blob data","733576ef-342f-4b1e-9380-cfc693a4344f","SU037 - NCC Core Integration - Online - Dev - 01 (733576ef-342f-4b1e-9380-cfc693a4344f)","rg-streambim-inbound-dev","stsblaprojectoutdev","Storage Account","2026-02-01T20:53:03.7813601Z","Restore blobs or snapshots after overwrite or deletion","","","No data",""
"Security","Medium","Storage account public access should be disallowed","733576ef-342f-4b1e-9380-cfc693a4344f","SU037 - NCC Core Integration - Online - Dev - 01 (733576ef-342f-4b1e-9380-cfc693a4344f)","rg-streambim-inbound-dev","ststreambimlookupdev","Storage Account","2026-02-01T18:58:51.9830185Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage accounts should restrict network access using virtual network rules","733576ef-342f-4b1e-9380-cfc693a4344f","SU037 - NCC Core Integration - Online - Dev - 01 (733576ef-342f-4b1e-9380-cfc693a4344f)","rg-streambim-inbound-dev","stsblaprojectoutdev","Storage Account","2026-02-01T20:46:50.9597970Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage account should use a private link connection","733576ef-342f-4b1e-9380-cfc693a4344f","SU037 - NCC Core Integration - Online - Dev - 01 (733576ef-342f-4b1e-9380-cfc693a4344f)","rg-streambim-inbound-dev","ststreambimlookupdev","Storage Account","2026-02-01T03:30:56.0651854Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage accounts should prevent shared key access","733576ef-342f-4b1e-9380-cfc693a4344f","SU037 - NCC Core Integration - Online - Dev - 01 (733576ef-342f-4b1e-9380-cfc693a4344f)","rg-streambim-inbound-dev","ststreambimlookupdev","Storage Account","2026-02-02T00:45:14.7716520Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage accounts should prevent shared key access","733576ef-342f-4b1e-9380-cfc693a4344f","SU037 - NCC Core Integration - Online - Dev - 01 (733576ef-342f-4b1e-9380-cfc693a4344f)","rg-streambim-inbound-dev","stsblaprojectoutdev","Storage Account","2026-02-02T00:45:51.8589405Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage account public access should be disallowed","733576ef-342f-4b1e-9380-cfc693a4344f","SU037 - NCC Core Integration - Online - Dev - 01 (733576ef-342f-4b1e-9380-cfc693a4344f)","rg-streambim-inbound-dev","stsblaprojectoutdev","Storage Account","2026-02-01T18:58:18.7813380Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage accounts should restrict network access using virtual network rules","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","rg-ensure-shared-dev","stensureshareddev","Storage Account","2026-02-01T21:10:23.6746912Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage account should use a private link connection","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","rg-ensure-shared-dev","stlaensurecrpdev","Storage Account","2026-02-01T03:49:11.6962177Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage accounts should prevent shared key access","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","rg-ensure-shared-dev","stensureshareddev","Storage Account","2026-02-01T13:05:33.0414564Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage accounts should prevent shared key access","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","rg-ensure-shared-dev","stlaensurecrpdev","Storage Account","2026-02-01T13:06:15.5918625Z","Prevent potential security breaches","","","No data",""
"Reliability","Medium","Enable Soft Delete to protect your blob data","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","rg-ensure-shared-dev","stlaensurecrpdev","Storage Account","2026-02-01T19:50:11.9520439Z","Restore blobs or snapshots after overwrite or deletion","","","No data",""
"Reliability","Medium","Enable Soft Delete to protect your blob data","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","rg-ensure-shared-dev","stensureshareddev","Storage Account","2026-02-01T19:50:11.9520439Z","Restore blobs or snapshots after overwrite or deletion","","","No data",""
"Security","Medium","Storage account should use a private link connection","b5a82f9e-82b3-4306-bbbe-0a747eb8e7e1","SU067 - NCC Core Integration - Corp - Prod - 01 (b5a82f9e-82b3-4306-bbbe-0a747eb8e7e1)","rg-nci-mbb-physicalpersonupdated-prod","stlogicmbbppupdateprod","Storage Account","2026-02-01T16:34:26.2259563Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage account should use a private link connection","b5a82f9e-82b3-4306-bbbe-0a747eb8e7e1","SU067 - NCC Core Integration - Corp - Prod - 01 (b5a82f9e-82b3-4306-bbbe-0a747eb8e7e1)","rg-nci-mbb-jobcluster-prod","stlogicmbbjobclusterprod","Storage Account","2026-02-01T03:31:36.1687095Z","Prevent potential security breaches","","","No data",""
"Security","Medium","Storage accounts should prevent shared key access","b5a82f9e-82b3-4306-bbbe-0a747eb8e7e1","SU067 - NCC Core Integration - Corp - Prod - 01 (b5a82f9e-82b3-4306-bbbe-0a747eb8e7e1)","rg-nci-mbb-physicalpersonupdated-prod","stlogicmbbppupdateprod","Storage Account","2026-02-02T01:24:08.9091690Z","Prevent potential security breaches","","","No data",""
"Reliability","Medium","Migrate to virtual network flow logs","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","networkwatcherrg","nsg-snet-nci-platform-devb01","Flow Log","2026-02-02T01:55:25.5473212Z","Avoid service disruption","","","No data","","9/30/2027","NSG Flow Logs"
"Reliability","Medium","Migrate to virtual network flow logs","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","networkwatcherrg","nsg-snet-nci-privateendpoints-mbb-dev01","Flow Log","2026-02-02T01:55:54.6108830Z","Avoid service disruption","","","No data","","9/30/2027","NSG Flow Logs"
"Reliability","Medium","Migrate to virtual network flow logs","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","networkwatcherrg","nsg-snet-nci-buildagents-keyvault-dev01","Flow Log","2026-02-02T01:56:36.5112204Z","Avoid service disruption","","","No data","","9/30/2027","NSG Flow Logs"
"Reliability","Medium","Migrate to virtual network flow logs","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","networkwatcherrg","nsg-snet-nci-buildagents-dev01","Flow Log","2026-02-02T01:56:19.3095449Z","Avoid service disruption","","","No data","","9/30/2027","NSG Flow Logs"
"Reliability","Medium","Migrate to virtual network flow logs","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","networkwatcherrg","nsg-snet-nci-platform-dev01","Flow Log","2026-02-02T01:55:04.8063931Z","Avoid service disruption","","","No data","","9/30/2027","NSG Flow Logs"
"Reliability","Medium","Migrate to virtual network flow logs","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","networkwatcherrg","nsg-snet-nci-mimer-func-egress-devb01","Flow Log","2026-02-02T01:54:56.0335210Z","Avoid service disruption","","","No data","","9/30/2027","NSG Flow Logs"
"Reliability","Medium","Migrate to virtual network flow logs","2e5d2617-4127-411e-b1ff-5139b43662c6","SU036 - NCC Core Integration - Corp - Dev - 01 (2e5d2617-4127-411e-b1ff-5139b43662c6)","networkwatcherrg","nsg-snet-nci-datafoundation-logic-egress-dev01","Flow Log","2026-02-02T01:52:12.4013784Z","Avoid service disruption","","","No data","","9/30/2027","NSG Flow Logs"
